file,dataset,librosa_F,v1_F,v2_F,gt_beats
SMC_146.wav,SMC,0.1071,0.3387,0.3947,37
SMC_147.wav,SMC,0.2632,0.2957,0.3789,63
SMC_148.wav,SMC,0.2124,0.2647,0.2588,48
SMC_149.wav,SMC,0.303,0.3399,0.3438,47
SMC_150.wav,SMC,0.6,0.6029,0.6536,72
SMC_151.wav,SMC,0.5934,0.5551,0.5696,88
SMC_152.wav,SMC,0.272,0.5205,0.623,54
SMC_153.wav,SMC,0.6308,0.5197,0.2752,64
SMC_154.wav,SMC,0.2273,0.3396,0.3333,35
SMC_157.wav,SMC,0.2174,0.3051,0.4516,51
SMC_158.wav,SMC,0.1379,0.3478,0.3636,26
SMC_159.wav,SMC,0.325,0.6299,0.4959,61
SMC_161.wav,SMC,0.2051,0.3243,0.4124,40
SMC_166.wav,SMC,0.5605,0.6515,0.7103,52
SMC_167.wav,SMC,0.1754,0.2667,0.2963,23
SMC_168.wav,SMC,0.2466,0.2178,0.4,22
SMC_169.wav,SMC,0.4293,0.6176,0.5714,108
SMC_170.wav,SMC,0.3051,0.4539,0.4786,46
SMC_171.wav,SMC,0.1429,0.2721,0.3115,34
SMC_172.wav,SMC,0.2456,0.4074,0.3529,50
SMC_173.wav,SMC,0.2245,0.3714,0.3077,27
SMC_174.wav,SMC,0.3333,0.3291,0.3008,53
SMC_175.wav,SMC,0.129,0.1364,0.3182,21
SMC_176.wav,SMC,0.24,0.2857,0.3243,47
SMC_178.wav,SMC,0.1386,0.3297,0.3636,23
SMC_179.wav,SMC,0.1235,0.2941,0.5246,25
SMC_181.wav,SMC,0.2238,0.3733,0.3186,38
SMC_182.wav,SMC,0.3095,0.5373,0.6939,46
SMC_184.wav,SMC,0.2703,0.4375,0.6076,39
SMC_187.wav,SMC,0.0851,0.1667,0.1538,22
SMC_188.wav,SMC,0.2675,0.62,0.8378,32
SMC_190.wav,SMC,0.2576,0.3609,0.3564,35
SMC_192.wav,SMC,0.08,0.2623,0.2162,21
SMC_193.wav,SMC,0.3864,0.481,0.4511,47
SMC_194.wav,SMC,0.1951,0.0741,0.0816,41
SMC_195.wav,SMC,0.5488,0.4462,0.4662,50
SMC_197.wav,SMC,0.1165,0.2449,0.3684,24
SMC_198.wav,SMC,0.2105,0.5513,0.5231,54
SMC_199.wav,SMC,0.1897,0.3222,0.2521,45
SMC_202.wav,SMC,0.1091,0.144,0.029,36
SMC_203.wav,SMC,0.087,0.2923,0.313,44
SMC_204.wav,SMC,0.1626,0.4845,0.4179,59
SMC_205.wav,SMC,0.5065,0.5166,0.569,48
SMC_206.wav,SMC,0.2476,0.3363,0.3404,34
SMC_207.wav,SMC,0.3766,0.3694,0.3235,76
SMC_208.wav,SMC,0.1538,0.3871,0.5581,35
SMC_209.wav,SMC,0.242,0.4107,0.54,45
SMC_211.wav,SMC,0.2906,0.3387,0.4576,55
SMC_212.wav,SMC,0.2222,0.3,0.381,26
SMC_213.wav,SMC,0.1898,0.3673,0.3366,42
SMC_214.wav,SMC,0.1121,0.1926,0.1538,28
SMC_215.wav,SMC,0.2314,0.4366,0.3717,37
SMC_216.wav,SMC,0.2167,0.4138,0.359,41
SMC_217.wav,SMC,0.2,0.3725,0.4675,35
SMC_219.wav,SMC,0.3577,0.5535,0.5957,57
SMC_220.wav,SMC,0.1695,0.3648,0.3158,47
SMC_221.wav,SMC,0.2075,0.25,0.2593,34
SMC_222.wav,SMC,0.2276,0.2833,0.3421,29
SMC_223.wav,SMC,0.2676,0.4308,0.3721,36
SMC_224.wav,SMC,0.1856,0.2206,0.303,42
SMC_225.wav,SMC,0.0877,0.2979,0.3158,28
SMC_226.wav,SMC,0.2025,0.375,0.3765,35
SMC_227.wav,SMC,0.2418,0.3333,0.3614,43
SMC_229.wav,SMC,0.0,0.4627,0.3934,50
SMC_232.wav,SMC,0.3704,0.6413,0.6667,75
SMC_235.wav,SMC,0.2321,0.3776,0.4086,42
SMC_236.wav,SMC,0.26,0.2764,0.2737,33
SMC_237.wav,SMC,0.1928,0.4,0.3871,42
SMC_239.wav,SMC,0.1651,0.2292,0.2472,30
SMC_241.wav,SMC,0.2261,0.2874,0.3853,48
SMC_242.wav,SMC,0.1558,0.5429,0.5593,52
SMC_243.wav,SMC,0.22,0.4752,0.5,32
SMC_244.wav,SMC,0.2914,0.3256,0.2264,70
SMC_248.wav,SMC,0.2909,0.4966,0.5484,60
SMC_249.wav,SMC,0.25,0.4625,0.5179,42
SMC_251.wav,SMC,0.0676,0.4599,0.5541,71
SMC_252.wav,SMC,0.3516,0.5072,0.4604,61
SMC_253.wav,SMC,0.3036,0.5354,0.4404,44
SMC_254.wav,SMC,0.1778,0.2018,0.1414,64
SMC_255.wav,SMC,0.5412,0.5124,0.5208,43
SMC_256.wav,SMC,0.2772,0.4132,0.4038,41
SMC_257.wav,SMC,0.3841,0.5235,0.5468,77
SMC_258.wav,SMC,0.3097,0.28,0.3647,60
SMC_259.wav,SMC,0.241,0.4576,0.5479,32
SMC_260.wav,SMC,0.4426,0.6519,0.6241,61
SMC_261.wav,SMC,0.2157,0.4685,0.4274,36
SMC_262.wav,SMC,0.4049,0.6623,0.713,72
SMC_263.wav,SMC,0.2449,0.3137,0.4615,29
SMC_264.wav,SMC,0.3972,0.2969,0.339,48
SMC_265.wav,SMC,0.4921,0.733,0.5399,93
SMC_266.wav,SMC,0.3158,0.375,0.3294,31
SMC_269.wav,SMC,0.2034,0.3419,0.4151,36
SMC_271.wav,SMC,0.687,0.6024,0.791,69
SMC_272.wav,SMC,0.6224,0.6602,0.6471,130
SMC_273.wav,SMC,0.2819,0.9692,0.9683,64
SMC_274.wav,SMC,0.9149,0.2944,0.1659,93
SMC_275.wav,SMC,0.4,0.4865,0.5143,27
SMC_276.wav,SMC,0.992,0.7536,0.7143,126
SMC_277.wav,SMC,0.15,0.6105,0.7619,34
SMC_278.wav,SMC,0.8548,0.9787,1.0,69
SMC_279.wav,SMC,0.9927,0.7758,0.8516,69
SMC_280.wav,SMC,0.6216,0.7826,0.931,54
SMC_281.wav,SMC,0.8618,0.9134,0.9375,62
SMC_282.wav,SMC,0.6596,0.9254,0.9394,63
SMC_283.wav,SMC,0.9369,0.5839,0.5854,56
SMC_284.wav,SMC,0.848,0.7195,0.8923,60
SMC_285.wav,SMC,0.3459,0.404,0.5728,80
SMC_286.wav,SMC,0.9744,0.9167,0.9123,59
SMC_287.wav,SMC,0.8485,0.9781,0.9781,68
SMC_288.wav,SMC,0.855,0.5931,0.5574,66
SMC_289.wav,SMC,0.8682,0.9624,0.9552,66
